estonian,english
on,is
ma,I
ei,not
sa,you
see,it
et,to
ja,and
ta,she
kui,than
seda,that
kas,whether
me,we
mis,what
mida,what
pole,no
jah,yea
oma,your
aga,but
siis,then
olen,I am
nii,so
oled,you are
ära,out
siin,here
nad,they
oli,was
mu,my
kõik,all
selle,its
mind,me
midagi,something
te,you
mul,I have
mulle,me
minu,my
kes,who
nüüd,now
sind,you
su,su
ole,be
kuidas,how
mitte,not
välja,out
sinu,yours
nagu,like
mina,me
ka,also
sulle,for you
tema,his
miks,Why
veel,more
tagasi,ago
või,or
sul,you
meie,U.S
küll,Hawk
sina,you
hea,good
saa,get
lihtsalt,just
väga,very
seal,there
teda,"him, her"
olla,to be
üks,one
teie,your
need,they
kus,where
oleks,would be
tead,know
siia,here
palun,Please
palju,many
teha,do
tule,come
tea,know
sellest,on
hästi,well
tean,know
kuid,but
oleme,are
olgu,whether
meil,U.S
eest,for
pärast,after
juba,already
keegi,someone
tere,Hello
peale,on
ainult,only
tänan,thanks
isa,father
tahad,want
kunagi,ever
pean,must
vaata,Look
võib,can
neid,them
tahan,want
just,just
mees,man
talle,it
ju,after all
minema,go
hei,hey
oh,oh
tee,path
maha,down
teed,roads
arvan,I think
sest,because
läbi,through
saab,can
meid,us
jumal,god
üle,over
tõesti,really
tal,it
ema,mother
asi,thing
läheb,goes
enam,more
olnud,have been
teid,you
pead,have to
korras,okay
mine,go
koos,together
kohe,immediately
olema,have
aru,understanding
vastu,against
vaja,need
enne,before
taha,behind
olete,are
aega,time
anna,anna
täna,today
tuleb,comes
sinuga,with you
kaks,two
saan,get
nende,their
peame,must
minna,go
üles,up
vaid,only
sisse,in
isegi,even
kurat,devil
kinni,up
öelda,to say
olid,were
elu,life
kogu,all
lähme,let's go
valmis,ready
ikka,still
siit,from here
pea,head
saad,can
end,himself
jaoks,for
peaks,should
võta,take
lase,let
ning,and
ise,himself
rohkem,more
vabandust,Sorry
oota,wait
ütles,said
alati,always
ütle,say
teada,unknown
praegu,now
saada,send
sellega,it
muidugi,of course
liiga,too
teile,to you
sinna,there
minuga,with me
alla,down
raha,money
arvad,think
eks,right
kohta,about
kindel,firm
lahti,loose
aeg,time
juurde,to
kuhu,where
selles,therein
temaga,with him
olin,I had
rääkida,talk
parem,right
tore,great
näha,to see
korda,time
õigus,right
head,good
peab,must
surnud,dead
juhtus,happened
tegema,do
tegelikult,really
suur,Large
ütlesin,said
teil,you
meile,to us
nimi,name
ühe,one
inimesed,people
ette,ahead
edasi,further
hr,Mr.
kuule,hear
meeldib,like
polnud,was not
kõige,most
teen,teen
kahju,loss
ennast,myself
näinud,seen
teeb,does
iga,age
koju,home
võin,I can
lähen,I go
noh,well
näed,you see
ilma,without
sain,I got
räägi,speak
ega,nor
väike,small
teinud,done
kuni,until
päris,real
teeme,let's do
toimub,happens
saanud,received
söör,sir
mingi,some
pane,put
las,Las
enda,own
said,received
kokku,together
viga,mistake
võid,you
kuradi,fucking
asja,thing
natuke,bit
tähendab,means
poiss,boy
aastat,year
arvasin,I thought
kolm,three
kaasa,with
kallis,Dear
kord,time
saame,we can
aitäh,thank you
vist,whist
okei,okay
